,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,fries,cheeseburger,hamburger,combo,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
0,Wendy,"1001 redwood, vallejo, ca, 94590, us",4.819411764705881,3.34,2.6371530339681604,,34,,6.49,2.84,2.49,2.19,,ca,94590,Solano,2024-03-30,0,0,1,0
1,Wendy,"1110 s. mt. vernon ave., colton, ca, 92324, us",5.5914705882352935,4.640000000000001,2.647765020177607,,34,,6.69,3.64,2.99,2.79,,ca,92324,San Bernardino,2024-03-30,0,0,1,0
2,Wendy,"12201 san pablo avenue, richmond, ca, 94805, us",4.819411764705881,3.34,2.6371530339681604,,34,,6.49,2.84,2.49,2.19,,ca,94805,Contra Costa,2024-03-30,0,0,1,0
3,Wendy,"1313 s. wolfe road, sunnyvale, ca, 94087, us",6.319999999999998,4.29,4.1597080941541345,,35,,7.99,3.79,3.39,2.99,,ca,94087,Santa Clara,2024-03-30,0,0,1,0
4,Wendy,"1339 north main, salinas, ca, 93906, us",5.489999999999999,4.34,2.656623243672977,,34,,7.39,3.69,3.09,2.79,,ca,93906,Monterey,2024-03-30,0,0,1,0
5,Wendy,"14798 lapaz drive, victorville, ca, 92395, us",4.9049999999999985,4.24,2.37238101211982,,30,,6.49,3.4400000000000004,2.99,2.29,,ca,92395,San Bernardino,2024-03-30,0,0,1,0
6,Wendy,"1480 freedom blvd, watsonville, ca, 95076, us",5.489999999999999,4.34,2.656623243672977,,34,,7.39,3.69,3.09,2.79,,ca,95076,Santa Cruz,2024-03-30,0,0,1,0
7,Wendy,"1501 mchenry ave, modesto, ca, 95350, us",5.926206896551727,4.19,3.1547144947523718,,29,,7.49,2.99,2.99,2.59,,ca,95350,Stanislaus,2024-03-30,0,0,1,0
8,Wendy,"16984 valley blvd., fontana, ca, 92335, us",5.247352941176466,4.29,2.533195272219895,,34,,6.49,3.4400000000000004,2.99,2.29,,ca,92335,San Bernardino,2024-03-30,0,0,1,0
9,Wendy,"1737 e 17th st, santa ana, ca, 92705, us",5.360588235294117,4.09,2.6335817046668035,,34,,6.89,3.74,2.99,2.99,,ca,92705,Orange,2024-03-30,0,0,1,0
10,Wendy,"176 gateway blvd, s.san francisco, ca, 94080, us",5.078235294117648,4.04,2.574509057240457,,34,,7.39,3.49,3.19,2.59,,ca,94080,San Mateo,2024-03-30,0,0,1,0
11,Wendy,"1850, santa rosa, ca, 95407, us",4.819411764705881,3.34,2.6371530339681604,,34,,6.49,2.84,2.49,2.19,,ca,95407,Sonoma,2024-03-30,0,0,1,0
12,Wendy,"2010 n. rose avenue, oxnard, ca, 93036, us",5.11941176470588,4.29,2.495469944161727,,34,,6.19,3.09,2.89,2.59,,ca,93036,Ventura,2024-03-30,0,0,1,0
13,Wendy,"2045 north texas, fairfield, ca, 94533, us",4.784117647058822,3.39,2.615079705957757,,34,,6.49,2.84,2.49,2.19,,ca,94533,Solano,2024-03-30,0,0,1,0
14,Wendy,"2120 n preisker lane, santa maria, ca, 93458, us",5.247352941176466,4.29,2.533195272219895,,34,,6.49,3.4400000000000004,2.99,2.29,,ca,93458,Santa Barbara,2024-03-30,0,0,1,0
15,Wendy,"22320 cactus ave, moreno valley, ca, 92553, us",5.5914705882352935,4.640000000000001,2.647765020177607,,34,,6.69,3.64,2.99,2.79,,ca,92553,Riverside,2024-03-30,0,0,1,0
16,Wendy,"2275 mc kee road, san jose, ca, 95133, us",5.932647058823528,4.29,3.1230672223685043,,34,,8.49,3.9400000000000004,3.49,2.39,,ca,95133,Santa Clara,2024-03-30,0,0,1,0
17,Wendy,"2360 arena blvd, sacramento, ca, 95834, us",5.870882352941176,4.29,3.151209261488133,,34,,7.35,3.54,3.25,2.95,,ca,95834,Sacramento,2024-03-30,0,0,1,0
18,Wendy,"23750 main street, carson, ca, 90745, us",5.5914705882352935,4.640000000000001,2.647765020177607,,34,,6.69,3.64,2.99,2.79,,ca,90745,Los Angeles,2024-03-30,0,0,1,0
19,Wendy,"23969 mission blvd., hayward, ca, 94544, us",4.819411764705881,3.34,2.6371530339681604,,34,,6.49,2.84,2.49,2.19,,ca,94544,Alameda,2024-03-30,0,0,1,0
20,Wendy,"2439 march ln., stockton, ca, 95207, us",5.609117647058825,4.09,3.018424177542138,,34,,7.49,2.99,2.99,2.59,,ca,95207,San Joaquin,2024-03-30,0,0,1,0
21,Wendy,"2560 bell rd, auburn, ca, 95602, us",4.784117647058822,3.39,2.615079705957757,,34,,6.49,2.84,2.49,2.19,,ca,95602,Placer,2024-03-30,0,0,1,0
22,Wendy,"27544 the old road, valencia, ca, 91355, us",5.247352941176466,4.29,2.533195272219895,,34,,6.49,3.4400000000000004,2.99,2.29,,ca,91355,Los Angeles,2024-03-30,0,0,1,0
23,Wendy,"3565 central ave, riverside, ca, 92506, us",5.618787878787878,4.59,2.6828588975373826,,33,,6.69,3.64,2.99,2.79,,ca,92506,Riverside,2024-03-30,0,0,1,0
24,Wendy,"3760 midway drive, san diego, ca, 92110, us",5.435588235294117,4.54,2.54299405654561,,34,,6.79,3.34,3.19,2.79,,ca,92110,San Diego,2024-03-30,0,0,1,0
25,Wendy,"40460, murrieta, ca, 92563, us",5.300294117647057,4.390000000000001,2.515007291878235,,34,,6.59,3.24,2.99,2.69,,ca,92563,Riverside,2024-03-30,0,0,1,0
26,Wendy,"499 el camino real, san bruno, ca, 94066, us",5.439999999999999,4.29,2.4475077359728727,,34,,6.99,3.24,3.39,2.99,,ca,94066,San Mateo,2024-03-30,0,0,1,0
27,Wendy,"500 e washington st, petaluma, ca, 94952, us",4.784117647058822,3.39,2.615079705957757,,34,,6.49,2.84,2.49,2.19,,ca,94952,Marin,2024-03-30,0,0,1,0
28,Wendy,"5211 broadway, oakland, ca, 94618, us",4.819411764705881,3.34,2.6371530339681604,,34,,6.49,2.84,2.49,2.19,,ca,94618,Alameda,2024-03-30,0,0,1,0
29,Wendy,"5535 automall parkway, fremont, ca, 94538, us",4.784117647058822,3.39,2.615079705957757,,34,,6.49,2.84,2.49,2.19,,ca,94538,Alameda,2024-03-30,0,0,1,0
30,Wendy,"5724 holli, goleta, ca, 93117, us",5.300294117647057,4.390000000000001,2.515007291878235,,34,,6.59,3.24,2.99,2.69,,ca,93117,Santa Barbara,2024-03-30,0,0,1,0
31,Wendy,"5943, pacheco, ca, 94553, us",5.535454545454545,4.39,2.683517694674446,,33,,7.39,3.69,3.09,2.79,,ca,94553,Contra Costa,2024-03-30,0,0,1,0
32,Wendy,"618 e street, chula vista, ca, 91910, us",5.300294117647057,4.390000000000001,2.515007291878235,,34,,6.59,3.24,2.99,2.69,,ca,91910,San Diego,2024-03-30,0,0,1,0
33,Wendy,"680 n. euclid ave., anaheim, ca, 92801, us",5.241666666666668,4.24,2.499816104347589,,30,,6.69,3.64,2.99,2.79,,ca,92801,Orange,2024-03-30,0,0,1,0
34,Wendy,"698 ralston avenue, belmont, ca, 94002, us",5.022352941176471,3.9400000000000004,2.616095045520562,,34,,7.39,3.29,2.59,2.19,,ca,94002,San Mateo,2024-03-30,0,0,1,0
35,Wendy,"800 south figueroa street, los angeles, ca, 90017, us",5.778235294117647,4.640000000000001,2.6975767672533277,,34,,7.19,3.59,3.29,2.99,,ca,90017,Los Angeles,2024-03-30,0,0,1,0
36,Wendy,"8871 bond road, elk grove, ca, 95624, us",6.241142857142854,4.19,4.197368407826552,,35,,7.19,3.4699999999999998,3.19,2.89,,ca,95624,Sacramento,2024-03-30,0,0,1,0
